,SpecimenID,continent,SporeO1,SporeO2,SporeO3,SporeO4,SporeP0,SporeP1,SporeP2,SporeP3,SporeD0,SporeD1,SporeD2,SporeD3,SporeD4,SporeLength,SporeWidth,SporeQ,CheiloLength,CheiloWidth,CheiloQ_AM,CheiloQ_AB,CheiloQ_BM,BasidiaQ,NoOfCompleteLamellae,Latitude,Longitude,Altitude,CheiloCylindrical,CheiloVentiLagen,CheiloClavateGently,CheiloClavateStipitate,CheiloClavateVentricose,CheiloPyriBalloon,Pinaceae,Salicaceae,Fagaceae,Species,Section
72,73,Europe,0,1,1,0,1,0,0,0,0,0,0,1,0,0.658402204,0.698174931,0.549586777,0.967772333,0.656963891,0.424028941,0.661652704,0.21526456,,0.643819334,0.742606602,0.332015131,0.57889309,0,0,1,0,0,0,0,0,0,velutipes,Velutipes
73,74,Europe,1,0,0,0,1,0,0,0,0,0,0,1,1,0.709022039,0.814566116,0.383608815,0.855258198,0.77229182,0.720677837,0.716108149,0.433764751,,0.548534073,0.742606602,0.332015131,0.57889309,0,0,1,0,1,0,1,0,0,leucosarx,Velutipes
74,75,Europe,0,0,1,0,0,0,1,0,0,0,0,0,1,0.806990358,0.775826446,0.605544077,0.010931021,0.696389094,0.022467631,0.448591013,0.054054054,,0.132725832,0.645460798,0.382049519,0.368683396,1,0,0,0,0,0,0,0,0,sacchariolens,Sacchariolentia
75,76,Europe,0,0,1,0,0,1,1,0,0,0,1,0,0,0.763946281,0.50327135,0.880509642,0.556916698,0.508843036,0.692307692,0.395087586,0.755043776,,0.643819334,0.689133425,0.339408528,0.507218976,0,0,0,0,1,0,0,0,0,cavipes,Denudata-Clepsydroida
76,77,Europe,1,1,0,0,1,0,0,0,0,0,0,1,0,0.512052342,0.251721763,0.922176309,0.160572936,0.388356669,0.574257426,0.516184311,0.498667682,0.859706775,0.47385103,0.688101788,0.337345254,0.620660021,1,0,0,0,1,0,0,0,0,griseopruinatum,Theobromina
77,78,Europe,0,0,1,1,0,0,1,0,0,0,0,0,1,0.972623967,0.775826446,0.944559229,0.725593668,0.717759764,0.510472201,0.831873572,0.017510468,,0.229397781,0.708046768,0.277166437,0.021313166,0,0,0,0,0,0,0,0,0,fusisporum,Sacchariolentia
78,79,Europe,0,0,1,0,0,0,1,0,0,0,0,1,0,0.972623967,0.981749311,0.355544077,0.022427441,0.560058954,0.538461538,0.782559025,0.201941378,,0.057250396,0.572558459,0.425722146,0.148504641,1,0,0,0,0,0,0,0,1,odoratissimum,Sacchariolentia
79,80,Europe,0,1,0,0,1,0,0,0,0,1,0,0,0,0.630681818,0.698174931,0.447486226,0.556916698,0.388356669,0.583968012,0.458492003,0.523410735,,0.47385103,0.658700138,0.390646492,0.376074252,0,0,0,0,1,0,0,0,1,hiemale,Denudata-Hiemalia
80,81,Europe,0,1,0,0,1,1,0,0,0,0,0,1,0,0.103477961,0.251721763,0.057506887,0.895778364,0.798268239,0.459634425,0.685262757,0.242101256,,0.732171157,0.78610729,0.281464924,0.55087659,0,1,1,1,0,0,0,0,0,velutipes,Velutipes
81,82,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.075929752,0.142561983,0.17165978,0.423105918,0.160832719,0.16507997,0.247334349,0.523410735,,0.229397781,0.170392022,0.291437414,0.875730492,1,1,0,0,0,0,1,0,0,mesophaeum,Hebeloma-Hebeloma
82,83,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.307506887,0.454717631,0.321625344,0.238220882,0.160832719,0.026275704,0.079398324,0.783403121,,0.292393027,0.170392022,0.291437414,0.875730492,0,1,0,0,0,0,0,0,0,cistophilum,Hebeloma-Hebeloma
83,84,Europe,0,1,1,0,1,1,0,0,0,0,0,1,1,0.161329201,0.113292011,0.578512397,0.084244252,0.160832719,0.397753237,0.269992384,0.723639132,0.493174924,0.643819334,0.170392022,0.291437414,0.875730492,1,1,0,0,1,0,0,0,1,parvicystidiatum,Theobromina
84,85,Europe,1,0,0,0,1,0,0,0,1,1,0,0,0,0.211432507,0.251721763,0.383608815,0.725593668,0.034266765,0.25,0.218202589,0.70384469,,0.17610935,0.170392022,0.291437414,0.875730492,0,1,0,0,0,0,0,0,1,cistophilum,Hebeloma-Hebeloma
85,86,Europe,0,0,1,0,0,1,1,0,0,0,0,1,0,0.512052342,0.814566116,0.108815427,0.725593668,0.811348563,0.746763138,0.722581874,0.491054435,0.394843276,0.548534073,0.170392022,0.291437414,0.875730492,0,1,0,0,0,0,0,0,1,celatum,Velutipes
86,87,Europe,0,0,0,1,0,0,1,1,0,0,0,0,1,0.329028926,0.50327135,0.228650138,0.055220505,0.13559322,0.284463062,0.395087586,0.336886182,,0.229397781,0.170392022,0.291437414,0.875730492,1,0,0,0,0,0,0,0,1,birrus,Scabrispora
87,88,Europe,0,0,1,1,1,1,0,0,0,0,0,0,1,0.737258953,0.909263085,0.149965565,0.302299284,0.388356669,0.268088347,0.242003046,0.681575942,,0.968502377,0.170392022,0.291437414,0.875730492,0,1,0,0,1,0,0,0,1,sinapizans,Sinapizantia
88,89,Europe,0,0,0,1,0,0,0,1,0,0,0,0,1,0.307506887,0.454717631,0.261363636,0.099698455,0.056005895,0.230769231,0.335110434,0.386943281,,0.17610935,0.170392022,0.291437414,0.875730492,1,1,0,0,0,0,0,0,1,birrus,Scabrispora
89,90,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.116046832,0.251721763,0.078168044,0.632491519,0.242630803,0.098057883,0.202018279,0.614389037,,0.732171157,0.170392022,0.291437414,0.875730492,0,1,0,0,0,0,0,0,1,subtortum,Hebeloma-Hebeloma
90,91,Europe,1,0,0,0,1,0,0,0,1,0,0,0,0,0.247933884,0.212465565,0.605544077,0.556916698,0.336772292,0.299124143,0.253617669,0.625808907,,0.732171157,0.170392022,0.291437414,0.875730492,1,1,0,0,0,0,0,0,1,subtortum,Hebeloma-Hebeloma
